GO.ID,Term,Annotated,Significant,Expected,Rank in elim_fisher,weight_fisher,elim_fisher,weight01_fisher,genes
GO:0098772,molecular function regulator,665,11,11.32,7,0.711,0.581,1.000,Misin02G377100.v7.1|Misin04G305400.v7.1|Misin05G003600.v7.1|Misin06G345200.v7.1|Misin08G108800.v7.1|Misin09G092000.v7.1|Misin09G143200.v7.1|Misin13G129200.v7.1|Misin16G103100.v7.1|Misin16G185100.v7.1|MisinT173800.v7.1
GO:0016741,"transferase activity, transferring one-c...",787,12,13.4,11,0.723,0.691,1.000,Misin02G076500.v7.1|Misin02G331400.v7.1|Misin02G332900.v7.1|Misin03G359800.v7.1|Misin03G366800.v7.1|Misin04G402100.v7.1|Misin10G118400.v7.1|Misin12G093100.v7.1|Misin14G010400.v7.1|MisinT117800.v7.1|MisinT117900.v7.1|MisinT118100.v7.1
GO:0042578,phosphoric ester hydrolase activity,608,9,10.35,13,0.743,0.710,1.000,Misin01G292300.v7.1|Misin04G171600.v7.1|Misin06G173100.v7.1|Misin07G096200.v7.1|Misin07G545400.v7.1|Misin08G075400.v7.1|Misin12G231100.v7.1|Misin17G017200.v7.1|Misin17G229400.v7.1
GO:0008134,transcription factor binding,87,1,1.48,14,0.776,0.776,0.776,Misin08G221600.v7.1
GO:0140110,transcription regulator activity,1091,15,18.58,19,0.801,0.834,1.000,Misin01G296700.v7.1|Misin01G325900.v7.1|Misin05G314300.v7.1|Misin06G173600.v7.1|Misin06G319300.v7.1|Misin08G139900.v7.1|Misin08G221600.v7.1|Misin10G201200.v7.1|Misin14G154700.v7.1|Misin16G081700.v7.1|Misin16G214500.v7.1|Misin17G026900.v7.1|Misin17G216300.v7.1|Misin19G047200.v7.1|MisinT411900.v7.1
GO:0016829,lyase activity,799,11,13.61,16,0.802,0.802,0.802,Misin01G176200.v7.1|Misin01G226100.v7.1|Misin01G352700.v7.1|Misin01G395000.v7.1|Misin01G412200.v7.1|Misin02G396200.v7.1|Misin03G173400.v7.1|Misin07G003000.v7.1|Misin08G138000.v7.1|Misin08G153500.v7.1|Misin09G018000.v7.1
GO:0016810,"hydrolase activity, acting on carbon-nit...",176,2,3,17,0.804,0.804,0.804,Misin08G026800.v7.1|Misin08G067700.v7.1
GO:0042393,histone binding,95,1,1.62,18,0.805,0.805,0.805,Misin02G010900.v7.1
GO:0003700,DNA-binding transcription factor activit...,1091,15,18.58,20,0.834,0.834,0.834,Misin01G296700.v7.1|Misin01G325900.v7.1|Misin05G314300.v7.1|Misin06G173600.v7.1|Misin06G319300.v7.1|Misin08G139900.v7.1|Misin08G221600.v7.1|Misin10G201200.v7.1|Misin14G154700.v7.1|Misin16G081700.v7.1|Misin16G214500.v7.1|Misin17G026900.v7.1|Misin17G216300.v7.1|Misin19G047200.v7.1|MisinT411900.v7.1
GO:0003729,mRNA binding,106,1,1.81,21,0.839,0.839,0.839,Misin11G202000.v7.1
